Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Sorgenfrigata 34, Oslo,90 ,10 490 000 ,NaN
Prinsdalsfaret 3B-3C, Oslo,NaN,NaN,4
Maridalsveien 47 A, Oslo,74 ,6 500 000,2
Mortensrudveien 16E, Oslo,81 ,3 600 000,2
Ravnkollbakken 20, Oslo,88 ,2 900 000,3
Haakon Tveters vei 53, Oslo,40 ,3 200 000,1
Schønings gate 15, Oslo,121 ,14 750 000,2
Åmotveien 9, Oslo,148 ,20 000 000 ,NaN
Brattlistubben 9, Oslo,240 ,9 700 000,6
Hjelms gate 7B, Oslo,71 ,7 000 000,3
Veitvetveien 11, Oslo,86 ,3 850 000,3
Eterveien 9, Oslo,116 ,8 200 000,4
Fridtjof Nansens vei 5B, Oslo,81 ,10 900 000,2
Ringgata 2A, Oslo,51 ,3 990 000,1
Skausnaret 12, Oslo,130 ,11 000 000,NaN
Thurmanns gate 7, Oslo,40 ,3 790 000,NaN
Bestumveien 84N, Oslo,76 ,5 700 000,2
Leyrins gate 3, Oslo,85 ,6 800 000,3
Herman Foss' gate 8 A, Oslo,68 ,6 800 000,2
Framnes terrasse 3B, Oslo,49 ,5 000 000,1
Romsdalsgata 5B, Oslo,30 ,3 400 000,1
Reichweins gate 3, Oslo,46 ,4 490 000,1
Vækerøveien 193 A, Oslo,45 ,4 500 000,1
Magnefaret 14, Oslo,66 ,7 250 000,1
Ulsrudveien 24, Oslo,143 ,9 500 000,3
Skøyenåsveien 13, Oslo,73 ,4 390 000,3
Tyristubbveien 13, Oslo,64 ,4 750 000,2
Gamle Enebakkvei 55, Oslo,94 ,5 600 000,3
Haakon Tveters vei 49, Oslo,53 ,3 650 000,1
Fredensborgveien 24D, Oslo,53 ,5 850 000,1
Oskar Braatens gate 22, Oslo,52 ,4 000 000,1
Kløfterhagen 27 B, Oslo,100 ,4 450 000,3
Sandakerveien 74A, Oslo,72 ,6 450 000,2
Stensgata 40, Oslo,50 ,4 750 000,2
Eltonveien 27, Oslo,157 ,11 450 000,4
Mina Beiteplukksvei 121, Oslo,119 ,6 150 000,3
Sørkedalsveien 283C, Oslo,227 ,12 950 000,5
Bergensveien 4A, Oslo,34 ,2 790 000,1
Jordstjerneveien 29E, Oslo,65 ,3 950 000,2
Schønings gate 5B, Oslo,42 ,4 600 000,1
Sverdrups gate 3, Oslo,77 ,6 950 000,2
Pontoppidans gate 12 B, Oslo,47 ,4 280 000,2
Vålerenggata 4, Oslo,46 ,2 570 000,1
Bidenkaps gate 1B, Oslo,37 ,4 190 000,1
Welhavens gate 20, Oslo,146 ,13 000 000,5
Olav Kyrres gate 8, Oslo,52 ,4 950 000,1
Freserveien 11, Oslo,44 ,2 590 000,1
Oppsalstubben 6, Oslo,73 ,4 125 000,2
Jonas Dahls vei 39, Oslo,25 ,2 850 000,NaN
Flyveien 1, Oslo,110 ,6 990 000,3
Ivan Bjørndals gate 1, Oslo,81 ,7 650 000,3
Kjølberggata 1 F, Oslo,52 ,3 700 000 ,NaN
Framnesveien 8A, Oslo,124 ,12 450 000,3
Vogts gate 52A, Oslo,48 ,4 590 000,1
Parkveien 64, Oslo,45 ,3 900 000,1
Evald Ryghs gate 16A, Oslo,82 ,6 900 000,2
Hovseterveien 36A, Oslo,80 ,5 400 000,2
Jordalgata 2, Oslo,45 ,3 664 000,1
Rosenborggata 12, Oslo,37 ,3 390 000,1
Odvar Solbergs vei 138, Oslo,86 ,3 300 000,3
Ulvenveien 125C, Oslo,77 ,3 840 000,2
Landingsveien 15, Oslo,71 ,5 000 000,2
Maridalsveien 242, Oslo,87 ,6 700 000,3
Rugveien 71, Oslo,69 ,3 800 000,2
Lakkegata 68B, Oslo,34 ,3 060 000,1
Vetlandsfaret 11A, Oslo,70 ,3 800 000,2
Holmenkollveien 78G, Oslo,103 ,7 200 000,3
St. Edmunds vei 35, Oslo,54 ,5 450 000,2
Regnbueveien 1, Oslo,65 ,3 950 000,2
Jonas Dahls vei 41, Oslo,63 ,5 100 000,2
Lindebergåsen 25C, Oslo,79 ,3 750 000,2
Innspurten 4B, Oslo,66 ,3 360 000,2
Melkeveien 29B, Oslo,252 ,18 500 000,4
Ullernveien 81, Oslo,126 ,7 500 000,3
Vestre Haugen 58, Oslo,58 ,2 990 000,2
Brinken 7, Oslo,46 ,3 890 000,1
Gangstuveien 12, Oslo,72 ,3 500 000,2
Uranienborgveien 11E, Oslo,64 ,4 950 000,1
Grefsenkollveien 38, Oslo,102 ,8 750 000,3
Sarpsborggata 3B, Oslo,63 ,5 500 000,2
Skøyen terrasse 37, Oslo,94 ,6 500 000,1
Schweigaards gate 79D, Oslo,43 ,3 850 000,1
Årvollveien 58V, Oslo,76 ,5 600 000,2
Øivinds vei 22, Oslo,66 ,3 980 000,2
Rødbergveien 2B, Oslo,66 ,4 280 000,2
Hertzbergs gate 3A, Oslo,57 ,5 750 000,2
Lavrans vei 1C, Oslo,59 ,4 200 000,2
Sofienberggata 61 C, Oslo,73 ,5 400 000,2
Traverveien 33, Oslo,67 ,4 500 000,2
Kristine Bonnevies vei 2, Oslo,58 ,3 450 000,1
Fallanveien 30B, Oslo,99 ,7 100 000,3
Ekebergveien 177C, Oslo,114 ,9 700 000,4
Hagtornveien 4B, Oslo,83 ,7 800 000,2
Schives gate 6A, Oslo,101 ,10 500 000,2
Lambertseterveien 19, Oslo,45 ,3 700 000,1
Bauneveien 1, Oslo,107 ,12 000 000,3
Midtveien 11C, Oslo,175 ,12 500 000,5
Bjerregaards gate 56G, Oslo,102 ,7 900 000,2
Stensgata 27, Oslo,91 ,8 500 000,2
Pilestredet Park 20, Oslo,71 ,7 200 000,2
Økern torgvei 9H, Oslo,38 ,3 650 000,1
Husebybakken 10, Oslo,101 ,7 700 000,3
Frydens gate 5 A, Oslo,60 ,4 990 000 ,NaN
Hagelundveien 17, Oslo,68 ,3 600 000,2
Vetlandsveien 63A, Oslo,56 ,3 590 000,1
 Peter Møllers vei 8-14, Oslo,39 ,1 655 000 ,NaN
Ensjøveien 34, Oslo,61 ,6 150 000 ,NaN
Vollebekk - Humla Brl - salgstrinn 1, Oslo,59 ,2 460 000 ,NaN
Middelthunet hus C, Oslo,51 ,6 700 000 ,NaN
Melumveien 81 og 83, Oslo,253 ,15 400 000 ,NaN
 Peter Møllers vei 8-14, Oslo,37 ,1 170 000 ,NaN
Ammerudhellinga 43, Oslo,70 ,3 200 000,2
Nordåssløyfa 25B, Oslo,143 ,4 800 000,NaN
Radarveien 55, Oslo,65 ,3 950 000,2
Orrebakken 12, Oslo,404 ,34 900 000,4
Ensjøveien 29c, Oslo,39 ,3 290 000,1
Rugdestien 14, Oslo,428 ,37 000 000,6
Gangstuveien 2A, Oslo,70 ,3 100 000,2
Ensjøveien 29c, Oslo,55 ,3 900 000,1
Nils Bays vei 35, Oslo,198 ,21 500 000,4
Maria Dehlis vei 15, Oslo,64 ,2 850 000,1
Barnehjemsveien 15, Oslo,68 ,5 100 000,2
Trondheimsveien 139B, Oslo,87 ,6 250 000,2
Brinken 16D, Oslo,42 ,3 890 000,1
Frichs gate 3, Oslo,92 ,7 950 000,2
Kirkeveien 114, Oslo,67 ,6 200 000,2
Martin Skatvedts vei 5B, Oslo,64 ,3 300 000,2
Treschows gate 17F, Oslo,49 ,4 200 000,1
Ruseløkkveien 49, Oslo,58 ,5 700 000,1
Rosteds gate 2A, Oslo,87 ,6 990 000,2
Hoffsjef Løvenskiolds vei 2 M, Oslo,241 ,19 500 000,4
Camilla Colletts vei 16, Oslo,115 ,10 900 000,2
Stockfleths gate 54C, Oslo,66 ,5 850 000,3
Filerveien 2, Oslo,65 ,3 790 000,2
Dragonstien 97D, Oslo,62 ,3 000 000,1
Stjerneblokkveien 9, Oslo,65 ,3 190 000,2
Geitmyrsveien 73E, Oslo,61 ,5 150 000,2
Aspehaugveien 10B, Oslo,273 ,13 990 000,5
Ormøybakken 2, Oslo,129 ,12 500 000,3
Kirkeåsveien 5E, Oslo,146 ,12 900 000,3
Hellinga 18, Oslo,62 ,3 500 000,2
